corrected,family_ses,pay_per_week
"""I had Just been ordered and I was going to say my first mass at the collage that I had been trained, I was very nerves for a time, only because it was my first mass. I was ready, but the altar boy's were Just getting the altar ready for mass. The things that I was wearing where very heavy for they were made out of heavy silk, the chaseball was the heaviest but I stood the weight. We were ready, for the first time in my life I could say a mass. I was very pleased with myself because I had made priesthood. I had wanted to be a priest all my life. When mass had ended I went to the office that put my name in a book and decided which parish I could go too. The answer was st thomas more the parish that I had been taught to learn my lesson and not be cheeky I wounded if father [name] was still there or had been moved I asked the attended at the desk if could have a look at the book father [name] was still there """"when do I move out to-day"""", the little bot had served mass for him every day was saying mass for him. The next day I stayed early morning mass at eight o clock breakfast was ready and [name] the house keeper brought in the plates of beacon and egg, and to my surprise there was silver all over the side board. six o'clock and fathers turn to say mass and my turn to have tea first""  Words: 267",3.0,627.75
"Let`s start on Sunday. This is my day for relaxing, so I get up at about 10 o'clock. During the rest of the morning I finish off any leftoverbits of office-work I have brought home. In the afternoon I do the gardening until about 5 o'clock when I settle down to read. After an eight o'clock supper I watch television until I go to bed. During the week I go up to my office in London where I work as a solicitor. This is a steady, well-paid job which can offer little bits of excitement, for instance last year I went to the Bahamas on business. Then comes Saturday, I go to the shops in the morning to buy and listen to pop records, and get some food. In the afternoon. I play for the local cricket or soccer team, whichever season it is. Sometimes in the evenings I go down to the local pub to have a drink. Occasionally I have a party and invite friends in, and sometimes I am asked out myself. As I am rather lazy about housework etc, I have a person who comes in and cleans, a washing machine and a dish washer both of which I had to save up for. I am a strong supporter of Spurs and Middlesex. I have a [La*cia]for a car but drive carefully in it as I hate young men who buy a car and then drive recklessly in it. By the way every so often I nip up to (place) and (place) to get some clothes.  Words: 260",3.0,561.5
"At the age of 25 I would like to be come a air [hoster],or a typist and work in a office. I would go to many parts of the world to see how the people dress, eat and live. If I did, I think I would go to Italy last as I have all ready been. If I stayed at home I would spend most of my live reading, and working in a house. I would like to learn to ride horses as so I could teach others but I would no like very much teaching a group of people like a class. I would like a horse to my self  I am 25 and I am going to some parts of the world to see how they dress, eat and live. The first place I went to was France and then traveled on to Spain were I saw dancing and bule dancing. The dance was very nice. After I had been to France, spain, belgiumand many other places I came home back to [xxxxxxx] and be came a Air [hoster]. Then I decided to raid pony and horses. I lent one for a while and then I got one of my own. I keep et at a farm and paid rent to keep my pony their. It was a white pony and had blue eyes. I take her for raids every day to give her plenty of exercise. Then at the age of 27 I became a very good raider. Now I take a small group of people to learn how to ride and look after pony or horses. I just take three to six people. Most are children. But now I let ponies and horses go for a while and went traveling a gain. I am going for a holiday in Australia after two months I came back and carried on with raiding. Now I am 30 and I still ridngbut I don't take a class any more up to now I have not done any more traveling at all.  Words: 344",4.0,155.0
25 Years Old. I am now 25 years old. My work is in a riding school . We get many pupils and are doing very well. I have got two working pupils who stay with me at my house. Both have left school and are very keen about horses. their names are (name) and (name). They came when they were 18 and are now 20. We have got 23 ponies and 6 horses. Most were bought at (place) but some down South. The cost for a day ride is xxxx2 half day ride is xxxx1. I also give tuition which costs 12/6d to 15/- . all the ponies live out except our stallion he has very soft hair as he is arab his name is (name). (name) and (name) take out the rodeo and when we get beginnersthey lead them. I give them xxxx6 each week and they put it in their savings like I do with half mine . Last week we went to a sale and saw a lovely little highland mane of 13 **. The feeding does not cost very much as we buy so much of it at a time. as it is only (name) that stays in we get about forty sales on a load so that does us a long time. In the early morning when the ponies are caught they get a feed which consists of a double handful of oats and bran and a measure of beet pulp. They also get a large feed at night before they are turned out into their fields.  Words: 262,4.0,355.25
"I have now been finished university for four years and have a job as a civil engineer. At university I passed my O and A levels and hoping to be married before the age of 30 to someone I meet at university. The first thought of wild animals was at secondary school when i studied Biology at secondary and university . The university I studied in was (place). I lived in (place) for a few years and then in (place) , I shared a room with a friend a few miles from the university we have a car between us which is a two seater . The person I am living with would be getting married soon, and I will be alone to get on with my job. I have still got my stamp collections which are worth about xxxx50 when I was young I had about 1,051 but now my collections is about ten times that amount. My 25 birthday is getting on and I will be getting a job in the stamp trade . with my wife as *secretary .  Words: 182",3.0,625.0
"Now I am 25 years old and my job is a hair dresser I like it a lot and soon it will be my shop because the head is leaving and I am buying it. I have four people working. for me. I have one child a boy who has just started school. We live in a bungalow here at [town]. Soon we are coming to live over the shop. I will find it b a loteasier when we come to live over the shop because I will not have to bus it home. When I have some spare time I take my boy to the baths to learn him to swim. I like to read books from the library at night. My boy [name] is only 4 and I was married at 20 years of age. My husband also likes to read. Some times I lose my temper but not very often. Also I like to look at old pictures of my wedding and when I was a little girl. My home life has been good fun. When I was 11 I went to [town] with the school I will never forget that. We want to give are son a good life too. In a weeks time we are going to Scotland, one of the girls said she would take over the shop way I was away. I liked TV a lot when I was younger but I do not have much time to watch it now. I do not let my child lose much school he is even having his holiday in the summer holidays. I take after my mother a very lot my ways. I am the same with my boy as my mother was with me. I enjoy my life and I do not think anything will change it. Every one in family enjoys themselves. I hope we all stay that way.  Words: 316",4.0,155.0
When I am 25 I would like to live in a house not too big and not too small. The place I would like to live in would be quiet. I would like three bedroom so that I can have two children. I would like a blue door and a nice small garden at the front but a little bit bigger at the back. In the kitchen I would like the floor red and the kitchen can be not too small. I would had a big bed in our bed-room. In the childrens if I had a boy and girl they can have their toys in a cupboard. I would go around the house and make it clean every day. We would live near a seaside so that the children can go to it. In the house I would like one pet and that is a canary. Downstairs I would like a nice blue carpet and big blue flowers one. There will be some pictures on the wall. And there might be nice chairs.  Words: 174,3.0,343.75
I lead a very pleasant life children running around remind me of my young days. The children go to nursery and I have a job at short hand typing. On saturdays the days are [tyding] up while children fight and you try to stop them. Watching television and going to town spending money. My interests are still the same as when I was a child when I have a spare moment I will sit down and read a book. Or otherwise I will get some sewing done. Some of my interests have changed now as I dont get time to play rounders or netball. Now I do things like learning to drive a car. So as I only have time to watch television in the evening I usually only get time to see crossroads. and top of the pops on sunday afternoons when it is fine I will do some gardening but I have not really got green fingers. My work is very interesting sometimes but it can get boring when you just sit taking letters in a [sluffy] old office. When it is interesting is when you go out to write down things like somebody retiring or of somebody winning the [premuir*] [bonds*] which is not very often. When I have to go to London for something it is a nice day out for me But when you have been taking letters all day your fingers seem as though they are going to drop off. When you go home at night you fell very glad to put your feet up after you been up all day when you put your feet up and switch the television on you feel very at home but as you have only just sat down wither the phone rings or somebody knocks on the front door. So you have to get off your seat and go and answer it. And when you come back you often find that your husband has pinched it. So you have to sit somewhere else. Which does not make you very happy to get another chair ready and then get comfortable again Because you are never as comfortable as you were before. Then something like the children wake up and you have to go and see whats the matter with them which is not very pleasing when they are crying for nothing. You are very pleased when you are this age to get to bed and have a good nights sleep But if you have to get up early it is not very pleasing at all because you dont get your full times sleep. so you are tired during the day. Then your back to the same old job for another day in the stuffy old office.  Words: 458,3.0,144.230769230769
"""25 Years Old               When I was 25 years old I went to a boat yard their I met the boss and I ask him if I could have a job and he said alright and he took me to the building place. When I had done my tests The boss took me back to the building place. The first boat I started building was not very but the next was done very well. One day the boss came up to me and said """"do you want to launch the boat you built"""" and I said """"yes"""". When I had launched it, it went of very well. Then I went back to build my boat After five mins the boss came in again and said a boat has gone the wrong way and there are some people here wanting to hirer it so I said I will go and tow it in three years passed and the boss said I could be the boss and I was and I am now.""  Words: 173",3.0,195.0
"""I am out to work I work in a hairdressers. I am working full time I like cutting people's hair off. I live at home with my mother and father. I am learning how to typebecause I went to work in an office I started my training a month ago my father said """"why don't you learn typing"""" and he gave me the idea of typing. My sister is 17. And works as well. I can want till tonight because I am going out to a dance I have got to go with my sister and with her you get there at about ten o'clock instead of nine. I often take my cousin to the pictures to see things like [Gulliva] and the Sound of Music. I like the Sound of music very much I have seen it about six times I spend a lot of money on clothes and thing shoes and that.""  Words: 155",4.0,250.0
I am now 25 years old I am married and I have one child of 3. My wife is 24 her maiden name Jenefer [Surname]. We have beenmarried for 5 years.  We live in [xxxxxxx] at [street address]. I work at the R.D camp as a parachute instructor I earn 32 pound a week. and my family and I will Be going out to [hanekang] I do not have to pay for the journey.   Our Boys name is Aandrew his birthday is on the [xxxxxxx] of [xxxxxxx] [xxxxxxx]. my hobbies are art and [illegible fiche - cycling]. I have painted many pictures of airplanes.   I sometimes try to writepoems but I often cannotsucceed.  I hope to go in the secret servicewhen I come out of the R.D. I will Be coming out next year and I will get a pension of nine pound if I cannot go in the secret service I will go Back in in the R.D. I still know my old schoolfriends and we organized a reunion Party every year. My school is still [storckn] But is [illegible sentence].  Words: 196,4.0,528.846153846154
I am *** now 25 years old and I work with my father at his office. We sell whole sale and other things. I sometimes go to my uncle's when I have a day off. He has a sweet shop. I usually help behind the counter. My mom teaches at [school] [village]. I am hoping that I will be able to get a job at [factory] down the road from us. My uncle [name] worked there and after four days in packing the jam he was told to work in the acid room. I do not think I will get a Job there after all so I am thinking of getting married and working with my father and helping my mom at home as much as I can.  Words: 129,3.0,525.0
"I am (name) aged 25 of (place). I work on a farm in (place) and I have a great deal of hobbies. They are ****** *****, reading books, collecting stamps and pictures of famous people . I am leading a very good life and working hard at the farm I s** lots of rabbits , hares, foxes, ***** birds and ******. It is very interesting in the country and it is very ******. My work on the farm is sowing seed and ploughing the field and ***** ***** and **** *** *** and **** *** the chickens and ***** the chickens out . I like ****** baskets chairs and **** . I like making chairs and ****** than with ****** I like to *** the d** **** ** ***** **** patch . And have the *** ***** on my lap . I am very keen on football . I like to see the **** jump and dance in the spring . I am interested in basketball and about nature and its birds . It is *** good learning about nature and its subjects in spring and how they ****, and how they develop into lovely flowers and birds of its kind . I like most of all the hares running with food to its ***** And watching the rabbits jumping ***** . I like to see the **** building there nests in the tree and har the sound of the ***** bird singing and trying to fly .  Words: 249",4.0,335.0
I am a part time short hand typist I enjoy doing this work I am married and have two children a boys and girl I when I am at work their grandma looks after them. My husband work in an *office where I work. We live in a three bedroom house in **** I go out on a thursday night to bingo. something I do my friends hair. My hobbies are hair styling sewing knitting* and ballroom dancing. I dance for the North west in dancing tournaments I drive a grey mini car and my husband has a light green viva I have a niece of 17 who comes and baby sits on thursday. My mother lives at **** so I just pop round for a few minutes each day to have a [natter]. on Saturday afternoons I go to sewing class. On saturday morning I go to **** or **** shopping.  Words: 152,3.0,11.5384615384615
When I am 25 I would like to be a bachelor and live in an apartment in London my job a racing driver and mechanic. I would go racing nearly every week end and go shooting in the country. I would have a big motor [yact] [mord] at [city]. I would like some girl friend. My apartment would be in a high blook of ****** flats with a caravan or cottage near [motor racing circuit] for the week ends.  Words: 79,3.0,668.75
"I left school at eighteen and started University I left University when I was 25 I had a faint Ideal of what I was going to do for a job I either wanted to be an airplanehostess, a matron on an educational cruiser or a Dentist assistant I could have done any of the jobs but I had to chose one. I went home and helped my parents until we decided what job I was going to do I wanted really to be an matron on an educational cruiser my parents were not very helpful they always said it's up to you. Some how it was settled that I was to be a matron, everything was ready and in two days time I was to go on my very first cruise the name of the ship was the Arca and she was going to Spain, Cyprus, North Africa and portugal. The two days went very slowly my things were packed and I was to go in a coach of 34 children I had my breakfast washed and dressed and caught the coach it was very noisy we were to get on Arca at southampton we had out lunch a Salisbury and soon arrived at Southampton the Arca was a lovely ship, we went through customs and went up the gangplank aboard the Arca. I was shown the other matrons and I was shown around the ship when I was at home I had been given books about a matrons job so I was quite experimented I was given my uniform and was shown my first job of how to teach the children to put their life jackets on where their dormitories and muster stations. As the days got to know the ship and people better, the matrons were even if they had spare time to go into countries. The cruise was very successful and I am going to stay as a matron.  Words: 323",3.0,50.0
"I am twenty-five years old and I am studying at Cambridge. I passed my driving test a few years back and now I own a Zephyr mark 10. I have a wife and one child who is 2 years old. Before I went to Cambridge I went to Emmanuel College and before that [school name] Junior School for boys. My interests are photography and fishing and rowing. I row on the River Thames and also fish there. My son, who I have already mentioned was born on the 23rd of April 1981 and his name is [male name] [surname]. I live at 104 [street name] Road, [London suburb], Surrey. I do not smoke as I think it is a most stupid and expensive way to ruin your health. I weigh 11st ten pounds and I am 6ft one inches tall. My hair is black and I wear size 8 shoe. My eyes are blue and I wear spectacles. In one month's time I am going to try to get a job in a bank. My wife's name was, before I married her, [female name] [surname] and she had two brothers, [male name] [surname] and [male name] [surname]. The bank that I am trying to get a job in is Westminster Bank. I leave at six in the morning and reach Cambridge at about 7 o'clock. My Zephyr mark 10 is a bigcolour and I have had it for three years and have had one breakdown. As I go on the Monday morning and sleep there overnight. I do not go home till three o'clock on Friday afternoon to my wife and son. I enjoy writing compositions of Cambridge especially ghost ones. I don't know why but I just do.  Words: 290",3.0,961.538461538462
My name is [name] and I am 25 years of age. My main interests in life is to become a designer in clothes and to live in a city in my own house. I lead a very happy life with my husband who also design clothes and with my two children [name] and [name]. Now I am training at my husbands school for designers and wish to be leaving* very soon. [name] who is 7 is at a boarding school but comes to see me every weekend. [name] who is 3 goes to a nursery while I am at work. The house I live in is a large bungalow. We have a very big* garden as my husband is very interested in gardening. The children have a cat and a rabbit but they would be very pleased if they had a dog.  Words: 142,4.0,729.0
"""My job is a teacher looking after pupils of four, five and six, first I call the register, then I write something on the blackboard for them to copy, then I give them their Arithmetic Books, and I will say """"Now then I have set you some sums, and I will give you so long to do it (according to how many sums I have set).""""Then when all that is finished we stop to have dinner. After dinner I take them for games or painting. We finish school at 3:45 so then we all go home, I cook my own tea (or else get fish and chips) when all that's over I watch television until my father gets home then I cook his tea. At Now I remember I am going out with the girl next who is about my own age, as there is a fair on in the town. We go and see that first, we go on that big wheel or something then we have a go on the rifle target and I win a set of six china cups and saucers. After that we have a go on a couple of other things and then we go home and go to bed. Next morning it is Saturday and as there is no school on saturday I go to a shoe shop and work. I have to wear a light and dark blue striped overall and low heel shoes. All different sorts of people come and ask for socks, stockings handbags slippers and shoes, and there was of course the odd one or two people who brought in and took out repairs, such as shoes, satchels and things like that. After that busy days work I go and cook both my brothers and my fathers tea we all stay in and have an early night. When I wake up on Sunday I cook all three of us a fried breakfast. When everyone is in it is a quarter to nine and we are on our way to church. After the vicar has finished speaking we all go home, have dinner and then go out to see my Aunt and Uncle on the farm. My Uncle is milking the cows and my Aunt is transferring the sheep to another field. My Uncle asked me if I would like a ride on his horse. I say, """"yes please I put some of my Aunt's jeans on, stayed to tea and then go home. When nine thirty comes I go to bed and then wake up Monday morning and say """"back to the routine.""""""  Words: 432",4.0,215.0
Get married and have 3 children. I would like to live in Bedford. I would like to go work in [woolworths].To [margate] for my holidays.  Words: 26,4.0,400.0
"I am now twenty five years old, sometimes I wish that I was still at school but sometimes I don't. I have two baby's boy and a girl they are twins and it is hard work at times. My husband is a school teacher at a Junior school for boys and girls he gets a good wage and we are saving up to buy a car and a house of our own. I have got my name down for a part time job, for when our children grow up and then I will most likely be able* to get them in a nursery if their names are put down. When the twins are asleep I am glad because I can get some house work done. Before I had the twins I used to bake a lot I liked baking but I am not interested in it much now. The worst part about having twins is when they are young but I wouldn't part with them. I also like cooking but recently some meals have been burnt. Before I married and just after I worked in a hairdressing salon called the Wavely. It is the beginning of summer now and we are going on our holidays. This year we decided to go to [town] on a caravan sight called [location] I am hoping that we will have a good time like we usually do. The twins are old enough now to sit up and we will be able to take them for walks to pubs which you can sit outside and have your drinks on tables. They enjoy it best of all when they are on the beach. The twins are learning to walk holding on to furniture and me and my husband are usually quarrelling.  Words: 292",4.0,107.5
"It's my birthday, I am now 25. I'm married, I have a good Job, but I am leading an awful life, 2 months ago my wife tried to commitsuicide by Jumping off the 19th floor in a 20 story flat, She broke 62 bones in her ribs and 2 - bones in her hand, then she slit her wrist veins with a pair of scissors A week ago she murdered my son who was 3 year old and she now is* in prison. Now I have taking up pole vault club at [town] and a football Training club for boys over 7 years old my only 9 year old son [name] comes here and is on his school football team. At home I like marking the boy's projects on football and pole vault, and I receive 60 every month and they are all good ones as well 3 - boys of fourteen have passed the exam and are going to take up football on a football team when they are 17 years old. It is better without my wife and I am trying to get a divorce when she comes out of prison. I have visitors for tea regularly and we chat about when we will have the next training* session. and I answer their questions and it is enjoyable usually When there is nothing to do. I put my feet up read my books or watch Television in colour my books have horror stories on Dracula a very old story and so is Frankenstein, And I can remember some of the songs  Words: 265",4.0,350.0
I am 25 years old and I am married. I have 1 child age 1. I live in a cottage just near (place) . The cottage has two rooms. It*also has a kitchenette and one bathroom . I use cookery utensils a lot. I would like to live happily with my husband and child . About two years later I should have a son. My daughter should grow up and stay on at school until she is eighteen . When my son grows up he will join the army and maybe he shall get a medal for bravery. My husband is in the army as well. He is a general now. When my daughter leaves school I would like her to be a secretary in an office . I shall soon save up for a car. I will learn to drive it . Soon my husband will be coming home from the army. He will bring his son with him. I forgot to mention their names son = (name) daughter = (name) . My husband's name would be (name) . When (name) **** or comes home I would like him to be a corporal. Maybe my daughter would get married and have one child. (name) may get married also. When I die I should like to get buried beside my mother and father. My husband will have retired from the army because of old age. I would like him to die about two years later than me. I would like my daughter and son to die at a good age.  Words: 267,4.0,155.0
"I am Now 25 years old. I like I cooking for my husband. I am a Riding instructor I enjoy my work. I like doing any handy jobs. I like painting and decorating. I like children I have a child of my own who is now 1 year of age. We have a big garden with a lot of flowers. There is a swing and a slide inthe garden. We live in the country. I own stables the stables are at the back of the house. We have 30 horses 10 [shetland] ponies, 10 welsh mountain ponies and 10 hunters. When children come they saddle there ponies and then we go for a long ride in the country. When we came back we would take the saddle and bridle of and rub them down and then give them oats, HAy and bran. My husband is a carpenter. The riding school is closed on a sunday and that is the day I have a rest from the horses. I like to keep the house tidy. But with the baby it is hard work, because she throws them everywhere. On a sunday we sometimes go for a ride in the car but otherwise we stay home and have a rest unless with have visitors. I enjoy my work, interests, and my home life.  Words: 223",4.0,64.0
"""It is my twenty-fifthbirthday today I have just come home after going on a course for civil engineers. I have recently bought a house and I owe my father some money which he loaned to me. I haven't a girl friend and I live on my own, so the house is too big for just me so I have let another man from the same course rent it from me so I can slowly pay back my debt. I hope to join my father's firm soon although I may not work in the same office.       I am thinking of selling some of my stamps because I haven't very much money at the moment, and also because I cannot be bothered to sort them out into countries and sets.      I sometimes go out with my friend who lives below me but we can't very often because we both have to study most of the time to get our """"A"""" levels. When I received the results of the A levels my father gave me a present of an old car and a new sailing dingy so I can go racing at a sailing club every weekend.""  Words: 196",3.0,2750.0
"When I am twenty-five I would like to join the merchant navy. In my spare time my hobby would be model cars. I want to become captain of a ship. If I cannot join the merchant navy I want to be a customs officer (in ships, not airplanes). In some of my spare time I would play Rugby Union or football. I would like a house somewhere in Sunderland near [park]. I do not think I would join the army because my father was in the army and he told me about it and I do not think much about it. On Saturdays I would go to the football match and support Sunderland. I do not think I would get married. If I played football I would like to be center-half and if I played rugby I would like to be hooker.  Words: 144",4.0,461.538461538462
"Today I start on my new job asa teacher. I am going to teach in my hometown (place) and again will go to school all over again . My main studies will be , arithmetic , English, P.T. and hand-work I live with my mum and dad and my sister (name) and very often after I come from the *** school and do my work in the home as my mum is a bit too old to do these things. My jobs in the house are the beds, however, I clean the rooms every week, and do the washing , and the thing I enjoy most is making the dinner and then make a cake for the sweet after . On Sundays we go for a run in the car and last week we went to (place) . It was a lovely day the [own] ***thing the [trees] and I went in swimming . On Saturday nights I go to the dancing in (place) with a boy I know very well in fact we will be married next week. after the weekend it is back to school . On Monday morning I give reading (**) in the morning followed by spelling. In the afternoon I give arithmetic and English followed by football for the boys and netball for the girls . On Tuesdays we have the same except for spelling there is no spelling on a Tuesday and poetry is given. Wednesday the children have singing in the morning and hand work and P.T. in the afternoon. On Thursdays its the same except for signing we have a period of arithmetic. Friday I give the children their weekly test of Mental, arithmetic and English and in the afternoon rounders and P.T. Tomorrow I will be married and tonight I have to go to get my hair done and fix my dress for tomorrow well the big day has arrived the taxi waiting and dad is already and so am I so off we go I was a white wedding .  Words: 339",4.0,692.307692307692
I am a dress designer with a few other girls and I live with my mum and dad at the house where I have lived since I was six. I love my job because when I was younger I liked sewing and making things for the dolls which I had. Every Friday I go to [community centre] to teach tap dancing. I give all my wages to my mum who pays for the clothes I get. I hardly ever buy clothes I mostly make them on my very complicated sewing machine. I go to work every day to be there at half past ten. I do not work. In my bedroom I still have the small blue teddy bear which I made in Mrs [name]s class at [school]. I made it with a student. On Saturday I finish work a bit earlier than usual to do some shopping. On Saturday night I go to the pictures with my friend [name] with a few boys and a few more girls.  Words: 168,4.0,440.0
"When I am 25 year old I would like to be a hair-dresser. I would like to have a boy and girl for children. I would work in the morning when they are at school and come home at dinner time. And al*** I would like to live in a big house with a lovely garden* and a little river [n**ing] through I would like to have lots of pet [indo*ing] dog, cat, guinea pig, tortoise, bird, and rabbit. And of course be rich and help other people that are poor. I would like my husband to be a boss of a farm for lory drivers like my dad. I wouldlike to live in the countrywith two, three houses by the side *or it wouldnot be lonely. I would like some tree's and a field around the back. with squirrels and baby birds. in theirnests. and have my own [yot] and [dingey]. when I can work I will go to a little hair-dressers shop with lots of people of it cannot be a hairdresser I would be a teacher of the infants: in a school near to my home. I would live quitenear a town. I wouldhave three bed-rooms, a big lounge a big kitchen and a dining room. and two big bedroom's and quite a small one. I would have roses in the front garden and trees in the back garden. with green grass and a little bridge over the river and I shall have fish in the river and frogs, eels, toads, and some goldfish. I would like all the animals to come in my garden, and have lot of more clothes.  Words: 282",4.0,124.0
"We came home from [company]s, got changed and went to the Baths. We came from the baths and had a walk in the country. We got up early in the morning after breakfast we went for a trip to a little village on the coast called [village], When we arrived at [village] the sun was shinning and the tide was just starting to flow. The wind was west but warm.  Words: 70",3.0,391.0
"When I am twenty five I should like to be working, but at about twenty seven I should like to settle down and start a family of a boy and two girls. I also should like to live in a fairly big house, but not to many rooms, I should like all the girls to have fair hair and the boys dark hair. When it was time for them to go to school I should like them to get on well, and when they get to the bigger school I should like them to pass their exam. But before then I should like life to be very pleasant for me and my husband. I should like him to be a teacher and before that a student at any school.  Words: 129",4.0,150.0
"I live in a council house with my family. It has two bedrooms a bathroom a kitchenette and a lounge. It isn't very big but it has plenty of room. I have two boys , a girl, and a baby. Their names are (name), (name), , (name) and the baby is called (name) . (name) the eldest is very mischievous but the other two are very shy. My wife is twenty - three , but she has not got a job yet . I work with a small firm near my home in (place). I am an electrician and I usually mend household machinery , for example radio's , washing machines, electric fires , and many others. I had no accidents with any machines yet .I have four main hobbies ,- Tennis , football , model making and reading. I usually play tennis with my friends at the tennis courts near my home. I usually play football with the other electricians during tea break. When i come home from work I usually build model ships or planes. If it is raining and I can't get out to play tennis I read, my favouritebooks . My favourite book are westerns .I do not work on saturdays , so I take my family a run in my car . I usually take them a run but sometimes go to the zoo. When we go a run in the car the children usually want to take a ball. We let them play football or whatever they want to play when we finish our tea .  Words: 261",3.0,350.0
"If I was 25 years old now I would be married or looking for a wife or engaged. I would hope to be a rector, or a cricketer or both. I would be quite busy getting to know my first Parish (if a rector) and visiting people and taking services. My wife and I might well be thinking about a baby. I would hope for a boy. I would go out a bit in the Evening, though not every night. I am trying to get to know my neighbors and hold a social life. I would try to find spare time to practice cricket and try to become and England Player and also a county player.  Words: 115",3.0,48.0769230769231
"I work as a hairdresser. I have two children and one dog my childrens names an (name) and (name) the dog's name is (name) . I take them to the swimm-ing every Saturday. (name) is 2 (name) is 4 they both have brown hair and blue eyes . I go down the town every Friday my husband goes to the football when I take the children to the swimming they like the swimming very much (name) can swim but (name) can not swim yet . The hairdresser I work in is called (company) . My second name is (name) and my first name is (name) my husband's is (name). I like my work very much and the people I work with are very nice too. My friends name is (name) she is my next door neighbour she has two girl they are twins theirnames are (name) , (name) they are both 2 years old one as fair hair and the other as dark fair hair (name) plays with them . We live up in (place) . My small sister who is 24 lives in the (place) her address is (address).  Words: 193",4.0,222.5
My name is [name] and I am married. I live at [address]. I am 25 years old and have a little girl of 18 moths called [name]. My husbands name is [name]. My husband works on the [company] and gets 20 pound a week. My little girl goes to a day nurserywhile I am at work. My job is a secretary at [school] at [city] I get home at four o'clock and collect  my little girl from the day nursery. I get home about 15 minutes past 4 my little girl plays in the garden while I get tea. My husband comes in a 7 o'clockat night. Next week we are going on holiday to [town] for a week. We are staying at a caravan site called the [caravan site] on this site is a club shops and fish and chip stalls bingo. I have blueish eyes black hair. My mother and father live in [town]. I have 2 brothers and 1 sister. My 2 brothers are 22 and 14. My sister is 17. My wedding anniversary is on the [date of wedding]. I have been married now for 5 years. My little girl's birthday is on [date of birth] and mine is on [date of birth]. My husbands is on the [date of birth]. My Mother is 48 years old and my father is also 48. I hate pop music my favouritemusic is classic music. At my job I earn xxxx18 a week In our house we have a gray telephone our number is [telephone number].  Words: 260,4.0,116.0
If I was twenty five I would do a lot of sewing and knitting for other people like friends that can't sew or knit because of there hands or being blind and if I had a job I would probably be a secretary because I have always wanted to be a secretary. I would buy myself a house if I had a lot of money and I would collect coins from other countries and probably stamps or if I didn't have enough money to buy a house I would make dresses and knit Jumpers and skirts and things like that. or if I had not got a job I would be a server in a shop or I might go and live in another country like france or scotland and I would try if I had time to go to america to see the rocket go up to the moon by then all sorts of people will be going up to the moon but if I went up I would not like to be up on the moon longer than two or three days.  Words: 184,3.0,300.0
Whe I left school I went to college to learn more about electricity. my brother gave me some lessons about electricity when I was still at secondary school. and I thought that I would carry on at that subject But I will soon leave that Job because I want to be an artist and paint many valuable paintings. like other great artists. and that is what I like best because you dontget all dirty and scruffy. When you are an artist you get many chances of painting many great people.  Words: 91,4.0,475.0
It was my first day at university I am training to a nurse and if I now no pass I will be a hair dresser. but if i pass I will go to [town] infirmary I would like to be a nurse for the childrens infirmary I was thinking about what I would look like in my uniform. And what I would do and how I would do it Then when my 25 birthday came a letter* came throw the door. I opened it and I ad paced I went and told my mum and dad and they were very pleased. and I went to the infirmary and they gave me my clothes and I put them on and They said I could work in the childrens word and I thank the matron very much and went on the ward There were children from all age But the Thing I liked best was washing them. I got on very well will other nurses and they got on well with me I liked my job and I am going to sick at it.  Words: 183,4.0,179.0
"I am 25 years old and I live at [house number] [street name] my hobbies are going to choir, reading books, making models, and writing poems and stories on historical things like haunted houses and battles.The best thing is going to choir, I like singing because I enjoy choir.My work is a manager in a Gas factory sometimes when a lorry driver is away I have to takeover, I have to go to all the different places like in Bath and Bristol to unload.  Words: 83",3.0,256.0
"I am Twenty five years old. I have a red car of my own and I have passed my driving Test. I work on a farm called (name of place) which is in (name of place). I go there every-day except for Sunday and my master tells me what I have to do. He pays me twelve pounds a week.Today is Sunday. I am free. At ten o'clock I will go to church. This - afternoon I am going to have tea with (name of person) who lives at (name of place). Tomorrow is WhitMonday and I am free again. On Tuesday I will have to go back to the farm. Tomorrow I am having lunch with my cousin, called (name of person). I like playing cricket and I am in the village team. During the Summer I am in the matches we play. Nearly every sunday. I am usually Batsman Number three.  Words: 153",3.0,884.615384615385
"I am a nurse I look after small children. I make beds help in operations I work in a small hospital the children are all in one big room about ten in one room. Sometimes I have to work at night times but mostly at day times I have a flat but sometimes I go home but mostly stay at my flat if I work at night time I have to be at the hospital by eight o'clock and leave at eight o'clock in the morning and if I am going to work in the Day I have to at the hospital by eight o'clock in the morning and leave at eight in the evening. I like being a nurse very much. I like going Swimming, making cakes. I like going abroad very much. I am going to Ireland for my holiday this* year, as my auntie live there.  Words: 151",4.0,19.25
"When I am 25 I am going to be a Zoologist. I am going to look after all different sorts of pets including monkeys and even donkeys. My interests are going to swimming, golf and sports. I am going to live in* Northumberland near the big forest were I can go to see all the animal life. I will go to different places like [village] in [town] Colliery. I am going to lead a nice life do all the things that keep you fit my dinner will be like ordinary meals. Once I could remember when I was a kid but now I am a grown man of 25.  Words: 109",4.0,260.0
